,companycode,companyname,companysource,meituanid,provincename,cityname,postalname,companyaddress,longitude,latitude,destinephone,shopphonenum,confirmstatus,updatedate,ismatched
0,160,AIGOGO自助量贩KTV（丰臣店）,美团,2436588,江苏省,常州市,新北区, 新北区通江中路108号丰臣国际广场时尚城6楼（万达北100米）,119.97202,31.820601, 0519-85855758,4,确定,2020/7/28,
1,162,星音悦KTV（梅村店）,美团,1873225,江苏省,无锡市,新吴区,新吴区新友路8号五洲国际广场3栋3楼 ,120.443319,31.545487,0510-66055777,3,确定,2020/8/19,
2,186,BINGO缤果KTV,美团,164117502,福建省,福州市,福清市,福建省福清市中环路1号中环广场4楼,119.366577651041,25.7183034188245,0591-85207888,3,确定,2020/7/22,
3,191,维也纳KTV,,1688311577,吉林,白山,市辖区,吉林白山市 八道江区浑江大街汇宝名郡三期,"126.441717,41.947689",42.045395,0439-6977888,1,确定,2020.8.7,
4,227,音悦汇量贩KTV,美团,1631374847,安徽省,合肥市,高新区, 高新区杭埠路与长安路交口,117.171672,31.807838, 0551-65333176,0,确定,2020/7/30,
5,230,欢乐迪萌秀KTV（三峡广场重师店）,美团,1113337,重庆,重庆,沙坪坝区,重庆省重庆 沙坪坝区天陈路12号重庆师范大学学术交流中心商业楼4楼（重师大门旁） ,106.459189,29.555743,023-65313666,5,确定,2020.7.28,是
6,231,钱汇量贩式KTV,美团,4147609,湖北市,荆门市,东宝区,湖北市荆门市东宝区象山大道66号加洲公寓5楼 ,112.199891,31.028582,0724-6088088,0,确定,2020/7/29,
7,234,新概念KTV,美团,184196201,湖北省,襄阳市,谷城县,湖北省襄阳市谷城县城关镇谷丰路10号 ,111.629355,32.259551,0710-7265333||0710-7265111,0,确定,2020/8/11,
8,236,大唐盛世音乐会所,美团,1227906492,安徽省,芜湖市,无为市,无为市大唐盛世音乐会所九州广场店 ,117.915011,31.302251,18511992210||17756558277,0,确定,2020/8/19,
9,237,酷爱KTV量贩,美团,1926086,陕西省,西安市,莲湖区,陕西省西安市莲湖区西大街桥梓口369号上海城B1楼 ,108.932261,34.259797,029-62821111,4,确定,2020/8/21,
10,239,活力无限KTV（南庄吉利购物广场店）,美团,2371608,广东,佛山,禅城区,广东省佛山市禅城区南庄镇吉利购物广场五楼活力无限KTV,113.10723066,23.03165084,0757-82133393,1,确定,7.29,
11,244,好声音·唱响纯K（学院店）,美团,195119895,江西省,宜春市,袁州区,江西省宜春市袁州区桥背路宜春学院东大门旁（学生街好声音学院店旁） ,115.389671,28.436069,18907958143,3,确定,2020/8/12,
12,250,迪卡乐KTV（老福山店）,美团,1517786,江西省,南昌市,西湖区,江西省南昌市西湖区站前路168号 ,115.911860,28.662523,0791-86567999,0,确定,2020/8/3,
13,254,欧啦啦歌城KTV,美团,2207438,湖南省,株洲市,荷塘区,湖南省株洲市荷塘区新华西路新伟大国际5楼（株百5楼） ,113.170821,27.853852,0731-22366666||0731-22365555,3,确定,2020/8/18,
14,260,新世界KTV,美团,2021749,山西,长治,潞州区,山西省长治潞州区府后西街海阔天空旁（近客运中心） ,113.096443,36.196802,0355-8922222,1,确定,2020/8/24,
15,270,红磨房KTV,美团,2408747,河北省,廊坊市,三河市,河北省廊坊市三河市燕顺路401号（京东国济医院北行50米） ,116.776411,39.982241,0316-5757888,1,确定,2020/7/30,
16,272,七星歌虫量贩式KTV,美团,1554250,广西,南宁,江南区,江南区白沙大道亭江路73号美晚酒店1-4楼 ,108.322859,22.786,0771-4925588,0,确定,8.1,
17,273,音乐小屋量贩KTV,美团,1532284,陕西省,西安市,碑林区,陕西省西安市碑林区劳卫路1号西荷花园美食街凯旋城3楼（太白路立交东北角） ,108.927887,34.235258,029-85568885,1,确定,2020/8/21,
18,274,音乐一百度KTV（六一店）,美团,1043184,福建省,福州市,鼓楼区,福建省福州市鼓楼区六一北路565号天创佳缘3楼（六一环岛旁）,119.319126032613,26.0792760587951,0591-88358888,4,确定,2020/7/22,
19,275,乐尚KTV量贩（云山路店）,美团,2658167,云南,昆明,西山区,云南昆明 西山区云山路云善时尚广场3-5楼 ,102.670567,25.038473,0871-63636666,1,确定,2020.8.10,是
20,276,新麦客量贩式KTV（星沙二店）,美团,1555220,湖南省,长沙市,长沙县,湖南省长沙市长沙县星沙大道商业乐园A栋401室 ,113.083977,28.245289,0731-84072505||4000731321,3,确定,2020/8/14,
21,277,艾·麦可风尚视听歌城（百脑汇店）,美团,1577259,安徽省,合肥市,包河区, 包河区金寨路136号乐城超市5楼（近绩溪路口） ,117.271764,31.844788, 0551-65539198||4001635188,1,确定,2020/7/30,
22,278,麦秀量贩KTV,美团,1549596,江苏省,苏州市,吴中区,吴中区东吴北路181号双冠南门商业广场A幢3楼（地铁4号线团结桥4号出口） ,120.62675,31.27663,0512-68550000,0,确定,2020/8/12,
23,280,欣星河量贩KTV,美团,178871371,河南省,驻马店市,西平县,河南省驻马店市西平县解放路梁师傅猪蹄叫花鸡南60米 ,114.020074,33.379759,0396-3535666,1,确定,2020/8/18,
24,285,海豚音氧吧量贩式KTV（双龙店）,美团,1541234,广东,深圳,龙岗区,龙岗区龙岗区龙平东路人人购物广场五楼,114.273921,",22.729267",0755-89913888,0,确定,8.14,
25,286,米兰本色,美团,2562640,安徽省,宣城市,宣州区,宣州区陵西路105号 ,118.751482,30.946062,0563-5201111,1,确定,2020/8/20,
26,288,海乐星量贩KTV（SM广场店）,美团,1547655,四川,成都,成华区,四川成都 成华区二环路东二段29号SM广场4楼（建设路口） ,104.1127,30.668316,028-65123777,3,确定,2020.8.14,是
27,289,好乐迪（胜利路店）,美团,6762289,安徽省,蚌埠市,蚌山区, 蚌山区胜利东路大统华超市三楼,117.374636,32.939254, 0552-2879666,1,确定,2020/7/27,
28,298,ABC红茶坊（集贤南路店）,美团,5240029,安徽省,安庆市,大观区,大观区集贤南路宏祥山庄1-2楼,117.044536,30.527408,0556-8726688,0,确定,2020/7/27,
29,301,乐皇量贩KTV,美团,1573567,湖南省,长沙市,岳麓区,湖南省长沙市岳麓区桐梓坡路长房时代城24栋2楼（近人人乐超市） ,112.909581,28.219242,0731-82991818||0731-89780808,3,确定,2020/8/14,
30,304,金悦酒店KTV,美团,2720374,广东,揭阳,榕城区,榕城区望江北路以北上义下八座七、八号,116.37356,23.52733,0663-8077555,3,确定,8.7,
31,305,足上煌CEO养生会所（习友路三店）,美团,175372373,安徽省,合肥市,蜀山区, 蜀山区合肥习友路与香樟大道交口香御公馆2栋商301 ,117.193282,31.814636,0551-63352588,2,确定,2020/7/30,
32,307,豪门娱乐会所,美团,2672137,安徽省,蚌埠市,龙子湖区, 龙子湖区淮河路545号（火车站东100米）,117.381211,32.943732, 0552-3089888,1,确定,2020/7/27,
33,308,KK金氧吧KTV,美团,5037955,福建省,南平市,延平区,福建省南平市延平区江滨路商业城黄金中心大厦4楼,118.188555,26.643644,0599-8483333||0599-8832222,4,确定,2020/7/22,
34,311,星聚星KTV,美团,1267838,山东省,东营市,东营区, 东营区北一路与西三路交汇处（西三路146号）,118.5058,37.457751,0546-8716666,5,确定,2020/7/29,
35,313,和天皇家会所,美团,6964029,湖南省,张家界,永定区,湖南省张家界永定区子午路133号凤湾欣业苑旁 ,110.487975,29.132998,0744-8888798,0,确定,,
36,315,天籁·体验式KTV,美团,2505508,河北省,邢台市,桥东区,河北省邢台市桥东区车站南路155号（火车站） ,114.491480,37.064254,0319-5915555,4,确定,2020/8/12,
37,323,同一首歌,美团,6049511,福建省,南平市,建阳区,福建省南平市建阳区民主北路14号2层,118.131246,27.336115,0599-5839999||0599-5833888,1,确定,2020/7/22,
38,325,芒果KTV（逍遥津店）,美团,2131289,安徽省,合肥市,庐阳区, 庐阳区华谊大厦95号3楼（逍遥津南大门，百盛商场北侧）,117.294776,31.865329, 0551-62659399,3,确定,2020/7/30,
39,326,魅力钱柜KTV（西关大街店）,美团,4384806,安徽省,宿州市,埇桥区,埇桥区西关大街西关街步行街A1# ,116.972461,33.637922,0557-3166666||0557-3188888,0,确定,2020/8/19,
40,327,酷歌壹佰ktv,美团,2511983,河北省,衡水市,桃城区,河北省衡水市桃城区中心街与站前路交叉口西南角基隆大厦,115.68926,37.74209,0318-6811111,3,确定,2020/7/28,
41,337,鼎红影K（广场店）,美团,41359426,江西省,鹰潭市,贵溪市,江西省鹰潭市贵溪市中心广场老汽车站旁 ,117.211891,28.283542,0701-3772211,0,确定,2020/8/13,
42,338,星唛迪商务量贩KTV,美团,2543763,浙江省,衢州市,柯城区,柯城区衢化文昌路99号3楼（1路公交车站对面） ,118.906969,28.900433,0570-8286688,1,确定,2020/8/10,
43,342,欢歌一页KTV,美团,6763520,安徽省,宣城市,宁国市,宁国市津河西路大苏果超市与工商银行对面 ,118.982018,30.624483,0563-4030678,1,确定,2020/8/20,
44,353,欢歌天天量贩式KTV（惠南店）,美团,1627169,上海市,上海市,浦东新区,浦东新区人民东路2635弄115号（近靖海路） ,121.768801,31.048533,021-58019999,1,确定,2020/8/10,
45,357,金纯K歌,美团,2421546,上海市,上海市,松江区,松江区文诚路500弄1号4楼（近西林北路） ,121.216714,31.032941,021-67795333,8,确定,2020/8/10,
46,360,星光大道量贩KTV,美团,2550294,山东省,烟台市,蓬莱市,蓬莱市新兴路686号（近华玺大酒店） ,120.76248,37.816191,0535-5998111,1,确定,2020/8/20,
47,363,乐翻天量贩式KTV（聚丰园路店）,美团,400146,上海市,上海市,宝山区,宝山区聚丰园路205号聚丰购物广场F3（近祁连山路） ,121.38246,31.315394,021-66161166||021-66161666,1,确定,2020/8/10,
48,366,海乐星KTV,美团,2463787,重庆,重庆,大渡口区,重庆省重庆 大渡口区大渡口一街B座（近俏巴渝大饭店）,106.487591,29.482695, 023-68696777,3,确定,2020.7.27,是
49,369,炫姿时尚量贩KTV,美团,2520229,湖北省,黄石市,黄石港区,湖北省黄石市黄石港区黄石大道大金新百五楼（磁湖梦电影城旁）,115.090662,30.213223,0714-6260000,1,确定,2020/7/29,
50,379,欢畅KTV,美团,2676173,河南省,新乡市,获嘉县,河南省新乡市获嘉县凯旋路中心花园德庄5楼 ,113.650411,35.266532,0373-4837777,1,确定,2020/8/11,
51,381,上海星秀麦量贩KTV（张江商业广场店）,美团,2693087,上海市,上海市,浦东新区,浦东新区张江镇建中路242弄68号张江商业广场1楼（近古桐路） ,121.612593,31.202248,021-58951099,4,确定,2020/8/10,
52,388,起点量贩KTV（坂田店）,美团,2370203,广东,深圳,龙岗区,龙岗区五和大道和磡村和磡综合楼2楼（五和B出口旁）,114.061205,22.625067,0755-23909666||23908666,3,确定,8.14,
53,389,当代主流商务量贩KTV,美团,2442288,广东,深圳,宝安区,宝安区桥和路315号德金花园2楼（德金国际电影城旁）,113.786917,22.688257,0755-29607888||29609990,0,确定,8.13,
54,391,非凡量贩式KTV,美团,6038556,山西,长治,潞州区,山西省长治 潞州区英雄北路51号,113.121332,36.208441, 0355-3566000,5,确定,2020/8/24,
55,396,橙果KTV（通达路店）,美团,2409706,山东省,临沂市,兰山区,兰山区通达路与金一路交汇北50米路西 ,118.329521,35.052386,0539-6957777||18005396765,1,确定,2020/8/5,
56,399,滚石音乐公园量贩式KTV,美团,4524766,四川,德阳,广汉市,四川德阳 广汉市苏州路南段117号 ,104.289952,30.974013, 0838-5326999,2,确定,2020.8.12,否
57,400,星乐迪量贩式KTV（利时店）,美团,2538387,浙江省,杭州市,桐庐县, 桐庐县迎春南路666号 ,119.686134,29.79928, 0571-64615999,3,确定,2020/7/30,
58,401,宾戈主题酒吧互动式KTV（苏宁店）,美团,94608262,山东省,威海市,环翠区,环翠区和平路6号苏宁电器4楼（宾戈量贩KTV处） ,122.12033,37.50291,0631-5355000,3,确定,2020/8/14,
59,403,爆米花KTV,美团,2545361,云南,玉溪,红塔区,云南玉溪 红塔区环山北路嘉阳商业城8幢1-5层（山水佳园对面） ,102.56469,24.358829,0877-2668811,3,确定,2020.7.29,是
60,406,音范纯K,美团,1567695,陕西省,西安市,雁塔区,陕西省西安市雁塔区长安南路82号华城国际A座4楼（电视塔往南300米路西，国美电器4楼） ,108.945985,34.191221,029-86108000,3,确定,2020/8/21,
61,407,台北芒果KTV,美团,2384366,四川,成都,金牛区,四川成都 金牛区永陵路19号原黄河商业城4楼（近永辉超市） ,104.044219,30.673902, 028-87733888,3,确定,2020.8.14,是
62,412,钻石娱乐量贩式KTV（府前西街店）,美团,5754505,山东省,烟台市,莱州市,莱州市府前西街五交化西门 ,119.935499,37.176102,0535-2090966,3,确定,2020/8/20,
63,416,麦酷量贩式KTV,美团,192198145,上海市,上海市,金山区,金山区卫清西路498号4楼 ,121.34304,30.729197,021-57969899,2,确定,2020/8/10,
64,419,酷姿派对KTV,美团,51036949,河南省,漯河市,临颍县,河南省漯河市临颍县颍川大道中段四季花都A区（近县政府） ,113.933530,33.827031,0379-80885566||0379-80885599,0,确定,2020/7/31,
65,425,云鼎量贩式KTV（四方坪店）,美团,2399071,湖南省,长沙市,开福区,湖南省长沙市开福区三一大道与车站北路交汇处华府一航线大厦3楼(地铁三号线四方坪站4号出入口) ,113.006150,28.229742,0731-89922666||13378019862,0,确定,2020/8/14,
66,432,夜宴网红K吧（原神话）,美团,790483627,新疆,哈密地区,伊州区,伊州区伊州区友谊路,93.496291,42.843962,0902-2222422||15299772345,2,确定,2020/8/24,
67,434,阳光量贩KTV（交易城店）,美团,2536416,福建省,龙岩市,新罗区,福建省龙岩市新罗区谢洋村闽西交易城A4-3栋2层,117.006246,25.108872,0597-2852688,0,确定,2020/7/31,
68,435,英皇国际娱乐会所,美团,6954296,山东省,菏泽市,鄄城县, 鄄城县鄄三路与建设路交汇处南（近鄄三路东）,115.513491,35.559379, 0530-2333999,1,确定,2020/7/31,
69,441,酩悦量贩KTV,美团,42126922,四川,眉山,仁寿县,四川眉山仁寿县仁寿大道飞龙大厦3楼 ,104.152544,29.999277, 028-36207777||028-38277777,1,确定,2020.8.5,是
70,445,好声音VOICE KTV,美团,2408998,山东省,烟台市,莱山区,莱山区观海路万象城苏宁电器三楼 ,121.447355,37.478711,0535-6728888,3,确定,2020/8/20,
71,447,名歌汇KTV,美团,4854028,贵州,六盘水,钟山区,贵州省六盘水市钟山区钟山中路83号永辉超市旁4楼 ,104.866811,26.587535,0858-6925999||8195999,3,确定,2020.7.22,是
72,448,麦田量贩KTV（创新128广场店）,美团,75463668,浙江省,宁波市,鄞州区,鄞州区启明路创新128广场 ,121.606126,29.807894,0574-83098555,1,确定,2020/8/7,
73,449,欢歌KTV（玉溪秀山路店）,美团,2541847,云南,玉溪,红塔区,云南玉溪红塔区秀山路12号启发家居广场3-4楼（近文化路） ,"102.53352,",24.342809,0877-2668777,5,确定,2020.7.29,是
74,451,代主题KTV,美团,2457226,重庆,重庆,江北区,重庆省重庆 江北区观音桥步行街金源时代不夜城B1楼（海派游泳馆盘） ,106.531662,29.574408,17830061553,5,确定,2020.7.24,是
75,458,高点歌城（吕四店）,美团,2530334,江苏省,南通市,启东市,启东市来鹤路26号（中国银行旁边30米） ,121.60105,32.053541,0513-83830066,1,确定,2020/8/6,
76,459,超级玛丽KTV（西渡店）,美团,2694089,上海市,上海市,奉贤区,奉贤区沪杭公路228弄c幢3楼（连城同商业广场附近） ,121.43048,30.98912,021-60877333,3,确定,2020/8/10,
77,467,卡莫量贩KTV,美团,1199059352,湖南省,长沙市,长沙县,湖南省长沙市天心区南湖大道2号 ,112.980057,28.024721,0731-86901688,0,确定,2020/8/14,
78,472,云河歌城（魅力之城店）,美团,6789913,陕西省,汉中市,汉台区,陕西省汉中市汉台区天汉大道魅力之城3楼 ,107.02624,33.070900,0916-2619898||0916-2615777,5,确定,2020/8/20,
79,473,PROVENCE蜜都,美团,195927453,福建省,厦门市,思明区,福建省厦门市思明区湖滨南路473号3-4层,118.118705,24.480665,13779967132,6,确定,2020/7/22,
80,476,咏乐·歌立方KTV,美团,4577628,河南省,信阳市,市辖区,河南省信阳市浉河区浉河北路与申桥交汇处德龙太子酒店三楼 ,114.069940,32.115820,0376-6505888||0376-6505999,1,确定,2020/8/11,
81,477,百佳乐量贩KTV,美团,2425554,浙江省,嘉兴市,南湖区,南湖区建国南路中兴广场5楼,120.75383,30.766291,0573-82055688,2,确定,2020/8/4,
82,480,欢歌天天量贩式KTV（奉城店）,美团,1627300,上海市,上海市,奉贤区,奉贤区奉城镇川南奉公路9718号（近永乐生活电器） ,121.647807,30.910979,021-57575656,5,确定,2020/8/10,
83,481,凯璇门KTV,美团,2568596,山西,大同,城区,山西大同 平城区御河北路88号御鑫商贸城负一层 ,113.315926,40.096905,0352-5521111,3,确定,2020/8/20,
84,484,海乐迪量贩式KTV,美团,2513739,河南省,开封市,鼓楼区,河南省开封市鼓楼区振河商业城4区4楼 ,114.355343,34.793581,0371-22232888,0,确定,2020/7/30,
85,485,台风TYPHOON 量贩KTV,美团,165497481,浙江省,台州市,椒江区,椒江区市府大道555号万家灯火都市广场四楼 ,121.41468,28.654341,0576-88885778,3,确定,2020/8/13,
86,486,吸引力ATT KTV（东大店）,美团,770516,四川,成都,锦江区,四川成都 锦江区东大街下东大街32-34号郁金香花园广场B1楼（近春熙路） ,104.079976,30.651229,028-86676543,3,确定,2020.8.14,是
87,489,宝乐迪量贩式KTV,美团,3284732,广东,广州,增城市,增城市荔城街迎祥西路1号（尊王酒吧对面）,113.82543,23.287314,020-26232228||020-26232118,3,确定,7.31,
88,491,新歌声量贩KTV,美团,195180948,安徽省,合肥市,庐江县, 庐江县长江路23号,117.284901,31.251511,0551-87766189,1,确定,2020/7/30,
89,493,SOHOKTV（新天地店）,美团,2300095,新疆,乌鲁木齐,水磨沟区,新疆省乌鲁木齐水磨沟区南湖南路50號5F（家樂福旁） ,87.614,43.818589, 0991-6288666,4,确定,2020/8/24,
90,495,80量贩KTV（潭城店）,美团,3263959,湖南省,湘潭市,雨湖区,湖南省湘潭市雨湖区建设北路5号时尚魔方美食购物广场三楼（大洋百货对面，安得购物城旁）,112.907493,27.858635,0731-55555580,0,确定,2020/8/10,
91,496,欢乐迪KTV全国连锁（涪陵店）,美团,95779683,重庆,重庆,涪陵区,重庆省重庆 涪陵区滨江大道2段32号 ,107.393723,29.711248,023-72882299,3,确定,2020.7.27,是
92,498,海乐迪量贩KTV,美团,6081524,湖南省,益阳市,赫山区,湖南省益阳市赫山区益阳大道4号（近新一佳超市） ,112.360640,28.566091,0737-4387999,1,确定,2020/8/13,
93,499,麦霸,美团,6698060,陕西,榆林,定边县,定边县鼓楼南大街众信百货四楼 ,107.59856,37.592991,0912-8084567,1,确定,2020/8/24,
94,501,好歌汇量贩式KTV,美团,42459145,广东,汕头,濠江区,濠江区达濠金晶合酒楼内,116.718815,23.284209,0754-87888555,5,确定,8.12,
95,506,魅力四射音乐氧吧会所,美团,2506590,福建省,漳州市,龙文区,福建省漳州市龙文区南昌路南昌花园1楼（近浦东批发市场）,117.687176,24.515714,0596-2126555,1,确定,2020/7/22,
96,507,集结号量贩KTV（云路桥店）,美团,4928836,安徽省,六安市,裕安区,裕安区云路街双子星城（云路桥） ,116.491347,31.757176,0564-3348855,2,确定,2020/8/6,
97,508,开心一号KTV,美团,2481747,福建省,泉州市,丰泽区,福建省泉州市丰泽区东湖街侨乡体育馆2号门华荣大厦6-7楼,118.617171,24.917082,0595-28092222,5,确定,2020/7/23,
98,509,欢乐迪KTV,美团,2537035,河南省,信阳市,浉河区,河南省信阳市浉河区东方红大道194号东方嘉年华2楼 ,114.077522,32.122045,0376-6387888,0,确定,2020/8/11,
99,510,奥斯汀KTV金湖店,美团,2537053,广西,南宁,青秀区,广西南宁青秀区民族大道100号西江大厦1-5层,108.371476,22.812222,4001119999,2,确定,8.1,
100,516,麦酷量贩式KTV（群英白马店）,美团,2481552,湖南省,衡阳市,耒阳市,湖南省衡阳市耒阳市群英中路白马商城2楼 ,112.85725,26.40734,0734-4233332,4,确定,2020/7/28,
101,518,唱享纯K,美团,21444,四川,绵阳,涪城区,四川省绵阳涪城区警钟街5号富临大观园 ,104.751659,31.459425,0816-2340009||0816-2346600,1,确定,2020.8.5,是
102,520,聚点,美团,2447042,江苏省,徐州市,邳州市,邳州市万兴商业步行街5号楼3楼（近人民路） ,117.966061,34.314753,0516-86019000,4,确定,2020/8/20,
103,525,糖果KTV（长江路店）,美团,2556594,广东,汕头,龙湖区,龙湖区长江路与衡山路交叉口（原金海马家私城）,"116.729262,",23.378906,0754-86889999,1,确定,8.12,
104,527,超乐KTV量贩,美团,5875485,山西,忻州,忻府区,山西忻州 忻府区长征东街凯天假日大酒店旁 ,112.74029,38.41695, 0350-2648888||0350-2647777,4,确定,2020/8/21,
105,529,玛莱仕音乐派（原新嘉州红量贩KTV）,美团,60697,浙江省,台州市,椒江区,椒江区解放南路2号国商广场3楼（近星星广场） ,121.436796,28.66138,0576-88866888,1,确定,2020/8/13,
106,532,K歌达人量贩式KTV（高行店）,美团,2521852,上海市,上海市,浦东新区,浦东新区金高路945号3楼（近双桥路） ,121.610262,31.28376,021-68591818,4,确定,2020/8/10,
107,535,零度空间量贩式KTV（友谊南大街店）,美团,2451838,河北省,石家庄市,桥西区,河北省石家庄市桥西区新石中路与友谊大街交叉口371号（阳光渔港斜对面） ,114.452690,38.016211,0311-83621118||0311-83651118,0,确定,2020/8/7,
108,538,钻石歌王,美团,6468089,安徽省,芜湖市,无为市,无为市安康路与襄安路车管所对面 ,117.898261,31.306352,0553-3665555,0,确定,2020/8/19,
109,541,金香国际,美团,96073133,重庆,重庆,铜梁县,重庆省重庆 铜梁区东城街道东莘路777号（近金龙体育馆） ,106.070185,29.83358,023-85198888,4,确定,2020.7.28,是
110,546,阿波罗音乐广场,美团,2509433,安徽省,芜湖市,南陵县,南陵县利民北路雄风百货4楼（近KFC） ,118.331832,30.921533,0553-6519111,1,确定,2020/8/19,
111,550,劲派KTV,美团,2383782,广东,广州,海珠区,广东省广州市海珠区晓港湾江南大道1198号,113.29114437,23.06763541,020-84121800||84121900,2,确定,7.31,
112,553,英伦国际音乐广场,美团,5868212,福建,宁德市,霞浦县,福建省宁德市霞浦县山河路长溪蓝庭二楼（近霞浦环岛大酒店）,120.013544,26.88352,0593-8769669,0,确定,2020/8/4,
113,555,钻石俱乐部（岁宝陆河店）,美团,4869100,广东,汕尾,陆河县, 陆河县陆河大道聚福苑岁宝2层010号铺 ,115.65661669,23.30091575,0660-5522999,1,确定,8.12,
114,556,芒果视听歌城（大唐国际店）,美团,2419191,安徽省,合肥市,蜀山区, 蜀山区望江西路298号乐购1楼（潜山路口）,117.231894,31.831824,0551-65577799,1,确定,2020/7/30,
115,558,温·莎量贩式KTV,美团,192788873,江苏省,宿迁市,泗洪县,泗洪县泗州中大街3号文化大世界三楼（原彩乐迪量贩ktv） ,118.208461,33.458834,0527-89890777,3,确定,2020/8/19,
116,559,台北芒果KTV,美团,2424261,重庆,重庆,南岸区,重庆省重庆南岸区江南大道24号边金信大厦负1楼（协信星光时代旁）,106.57152,29.523425,023-62622555,6,确定,2020.7.27,疑似
117,565,盛世嘉年华音乐会所,美团,6765001,安徽省,阜阳市,颍上县, 颍上县管仲大道7号（物价局东侧）,116.259754,32.643224,0558-8521888||0558-8521777,0,确定,2020/7/29,
118,568,阳光国际娱乐会所,美团,63738404,四川,达州,达川区,四川达州大竹县煌歌30米大道I栋4楼,107.208717,30.736574, 0818-6665666,5,确定,2020.8.13,是
119,569,咪多星量贩KTV,美团,2252572,广西,玉林,玉州区, 玉州区人民中路东门商业广场南城百货4楼 ,110.15411854,22.62914825, 0775-2800202/2800303,0,确定,8.19,
120,570,歌比利量贩PTV,美团,5196707,广西,玉林,玉州区, 玉州区玉州路大世界168号 ,"110.153899,",22.62478,0775-2899999,0,确定,8.19,
121,572,365k量贩式ktv（吴泾店）,美团,1498585979,上海市,上海市,闵行区,闵行区永德路660号3楼 ,121.453951,31.0411,021-65555529,3,确定,2020/8/10,
122,575,乐唱好声音KTV,美团,2392149,陕西省,西安市,未央区,陕西省西安市未央区凤城二路东段（近未央路） ,108.948825,34.317406, 029-62296666||13572063411,3,确定,2020/8/21,
123,585,海上歌友（南祝路店）,美团,2442708,上海市,上海市,浦东新区,浦东新区南祝路252号（近人民东路） ,121.763337,31.049159,021-58026000,1,确定,2020/8/10,
124,586,夜宴商务会所量贩KTV,美团,6326387,重庆,重庆,永川区,重庆省重庆永川区人民西路88号华创渝西天地二楼（人民广场新世纪二楼） ,"105.928437,",29.353572,023-49206688||023-49207788,4,确定,2020.7.28,是
125,587,台北星光88KTV,美团,2411563,重庆,重庆,九龙坡区,重庆省重庆九龙坡区巴国城红狮大道8号B1楼（巴国城公园对面） ,106.475554,29.499086,023-68199888,4,确定,2020.7.27,是
126,591,乐堂主题量贩式KTV,美团,2366417,四川,成都,青羊区,四川成都 青羊区少城路33号（近人民公园） ,104.057472,30.659424, 028-86630033,6,确定,2020.8.17,是
127,592,首麦主题量贩式KTV（商城街店）,美团,2723798,山东省,青岛市,黄岛区,黄岛区商城街30号甲（近胶南体育馆） ,119.997888,35.872207,0532-86161555,5,确定,2020/8/7,
128,594,KK金音乐会所,美团,194474949,福建,宁德,蕉城区,福建省宁德市蕉城区蕉城北路24号,119.530736,26.67021,0593-2512222,1,确定,2020/8/4,
129,597,好迪乐KTV（青莲路店）,美团,5094566,安徽省,马鞍山市,当涂县,当涂县青莲路452号3层 ,118.49214,31.562991,0555-6755222,1,确定,2020/8/6,
130,598,红歌汇量贩式KTV（常宁店）,美团,6259517,湖南省,衡阳市,常宁市,湖南省衡阳市常宁市东风广场中鼎大夏5楼（东方广场）,112.4003,26.409021,无,0,确定,2020/7/28,
131,602,欢乐迪KTV（鸿通城店）,美团,2451518,贵州,贵阳,南明区,贵州省贵阳市南明区南明区解放路100号鸿通城购物中心A区3-4楼（近火车站）,106.713695,26.562971, 0851-88666699,5,确定,2020.7.22,是
132,611,魔方KTV（西稍门西旺店）,美团,2438850,陕西省,西安市,莲湖区,陕西省西安市莲湖区西关正街258号御笔华章3楼 ,108.912835,34.258864,029-89344435,2,确定,2020/8/21,
133,621,星光大道量贩式KTV（东进路店）,美团,1460792,江苏省,盐城市,亭湖区,亭湖区东进路36号（盐渎公园南门西侧） ,120.159246,33.361495,0515-83095588,1,确定,2020/8/20,
134,630,宝乐迪量贩式KTV（安波路店）,美团,2514782,上海市,上海市,杨浦区,杨浦区安波路533弄6号3楼（近营口路） ,121.52993,31.301671,021-65506777,5,确定,2020/8/10,
135,634,绿芒果视听歌城港汇店（百大望江西路店）,美团,2430359,安徽省,合肥市,蜀山区, 蜀山区望江西路218号百大购物中心7层,117.232736,31.832677,0551-65866444,1,确定,2020/7/30,
136,636,东方之珠河东店,,91190,天津,天津,河东区,天津 河东区十一经路81号天星河畔广场3楼（近大光明桥） ,117.22192705,39.11976037,4000508000,3,确定,2020.8.17,
137,645,欢歌天天量贩式KTV（高东店）,美团,1626637,上海市,上海市,浦东新区,浦东新区高东镇光明路835号6楼（近高东公园） ,121.62592,31.325571,021-58589777,1,确定,2020/8/10,
138,651,哈米果KTV,美团,114917084,江西省,鹰潭市,月湖区,江西省鹰潭市月湖区步行街西二区二楼（天伦商务酒店对面） ,117.030730,28.237661,0701-6222289,1,确定,2020/8/13,
139,654,星光大道量贩式KTV,美团,2530626,山东省,潍坊市,诸城市,诸城市兴华西路与纺织街交叉口（老人民大厦斜对面） ,119.39515,35.98846,0536-6397888||0536-6570888,3,确定,2020/8/17,
140,676,新麦客量贩KTV（精彩店）,美团,1454841,湖南省,长沙市,芙蓉区,湖南省长沙市芙蓉区晚报大道218号精彩生活4楼（晚报大厦对面） ,113.017530,28.208260,0731-84883456||4000731321,0,确定,2020/8/14,
